TagName,Address,DataType,ClientAccess,EngUnits,Description
"AUTOMATICO","Channel1.S7_1200__1214C.AUTOMATICO",Boolean,R/W,"",""
"BICO_A","Channel1.S7_1200__1214C.BICO_A",Boolean,R/W,"",""
"BICO_B","Channel1.S7_1200__1214C.BICO_B",Boolean,R/W,"",""
"BICO_C","Channel1.S7_1200__1214C.BICO_C",Boolean,R/W,"",""
"CONT_PROD_A","Channel1.S7_1200__1214C.CONT_PROD_A",Word,R/W,"",""
"CONT_PROD_B","Channel1.S7_1200__1214C.CONT_PROD_B",Word,R/W,"",""
"CONT_PROD_C","Channel1.S7_1200__1214C.CONT_PROD_C",Word,R/W,"",""
"DESLIGA_ESTEIRA","Channel1.S7_1200__1214C.DESLIGA_ESTEIRA",Boolean,R/W,"",""
"EMERGENCIA","Channel1.S7_1200__1214C.EMERGENCIA",Boolean,R/W,"",""
"ESTEIRA","Channel1.S7_1200__1214C.ESTEIRA",Boolean,R/W,"",""
"LIGA_ESTEIRA","Channel1.S7_1200__1214C.LIGA_ESTEIRA",Boolean,R/W,"",""
"MANUAL","Channel1.S7_1200__1214C.MANUAL",Boolean,R/W,"",""
"MISTURADOR","Channel1.S7_1200__1214C.MISTURADOR",Boolean,R/W,"",""
"PRODUTO_A","Channel1.S7_1200__1214C.PRODUTO_A",Boolean,R/W,"",""
"PRODUTO_B","Channel1.S7_1200__1214C.PRODUTO_B",Boolean,R/W,"",""
"PRODUTO_C","Channel1.S7_1200__1214C.PRODUTO_C",Boolean,R/W,"",""
"RESET","Channel1.S7_1200__1214C.RESET",Boolean,R/W,"",""
"S1","Channel1.S7_1200__1214C.S1",Boolean,R/W,"",""
"S2","Channel1.S7_1200__1214C.S2",Boolean,R/W,"",""
"S3","Channel1.S7_1200__1214C.S3",Boolean,R/W,"",""
"S4","Channel1.S7_1200__1214C.S4",Boolean,R/W,"",""
"S5","Channel1.S7_1200__1214C.S5",Boolean,R/W,"",""
"S6","Channel1.S7_1200__1214C.S6",Boolean,R/W,"",""
"T_MISTURADOR","Channel1.S7_1200__1214C.T_MISTURADOR",Boolean,R/W,"",""
"T_PROD_A_BICO_A","Channel1.S7_1200__1214C.T_PROD_A_BICO_A",Boolean,R/W,"",""
"T_PROD_A_BICO_B","Channel1.S7_1200__1214C.T_PROD_A_BICO_A",Boolean,R/W,"",""
"T_PROD_A_BICO_C","Channel1.S7_1200__1214C.T_PROD_A_BICO_C",Boolean,R/W,"",""
"T_PROD_B_BICO_A","Channel1.S7_1200__1214C.T_PROD_B_BICO_A",Boolean,R/W,"",""
"T_PROD_B_BICO_B","Channel1.S7_1200__1214C.T_PROD_B_BICO_B",Boolean,R/W,"",""
"T_PROD_B_BICO_C","Channel1.S7_1200__1214C.T_PROD_B_BICO_C",Boolean,R/W,"",""
"T_PROD_C_BICO_A","Channel1.S7_1200__1214C.T_PROD_C_BICO_A",Boolean,R/W,"",""
"T_PROD_C_BICO_B","Channel1.S7_1200__1214C.T_PROD_C_BICO_B",Boolean,R/W,"",""
"T_PROD_C_BICO_C","Channel1.S7_1200__1214C.T_PROD_C_BICO_C",Boolean,R/W,"",""
